TaxonName,Author
Humbertiella henricii,Hochr.
Humbertiella sakamaliensis,(Hochr.) Dorr
Humbertiodendron saboureaui,Leandri
Humbertioturraea grandidieri,(Baill.) Cheek
Humbertioturraea maculata,(Sm.) Cheek
Humboldtia bourdillonii,Prain
Humboldtia brunonis,Wall.
Humboldtia decurrens,Bedd. ex Oliv.
Humboldtia laurifolia,Vahl
Humboldtia trijuga,(J.Joseph & V.Chandras.) M.Mohanan
Humboldtia unijuga,Bedd.
Humboldtia vahliana,Wight
Humiria balsamifera,Aubl.
Humiria crassifolia,Mart.
Humiria wurdackii,Cuatrec.
Humiriastrum colombianum,(Cuatrec.) Cuatrec.
Humiriastrum cuspidatum,(Benth.) Cuatrec.
Humiriastrum dentatum,(Casar.) Cuatrec.
Humiriastrum diguense,(Cuatrec.) Cuatrec.
Humiriastrum excelsum,(Ducke) Cuatrec.
Humiriastrum glaziovii,(Urb.) Cuatrec.
Humiriastrum liesneri,Cuatrec.
Humiriastrum mapiriense,Cuatrec.
Humiriastrum melanocarpum,(Cuatrec.) Cuatrec.
Humiriastrum mussunungense,Cuatrec.
Humiriastrum obovatum,(Benth.) Cuatrec.
Humiriastrum ottohuberi,Cuatrec.
Humiriastrum piraparanense,Cuatrec.
Humiriastrum procerum,(Little) Cuatrec.
Humiriastrum spiritu-sancti,Cuatrec.
Humiriastrum subcrenatum,(Benth.) Cuatrec.
Humiriastrum villosum,(Fróes) Cuatrec.
Hunga gerontogea,(Schltr.) Prance
Hunga lifouana,(Däniker) Prance
Hunga longifolia,Prance
Hunga mackeeana,Prance
Hunga minutiflora,(Baker f.) Prance
Hunga novoguineensis,Prance
Hunga papuana,(Baker f.) Prance
Hunga rhamnoides,(Guillaumin) Prance
Hunteria ballayi,Hua
Hunteria congolana,Pichon
Hunteria densiflora,Pichon
Hunteria ghanensis,J.B.Hall & Leeuwenb.
Hunteria macrosiphon,Omino
Hunteria myriantha,Omino
Hunteria oxyantha,Omino
Hunteria simii,(Stapf) H.Huber
Hunteria umbellata,(K.Schum.) Hallier f.
Hunteria zeylanica,(Retz.) Gardner ex Thwaites
Huodendron biaristatum,(W.W. Sm.) Rehder
Huodendron parvifolium,H.L.Li
Huodendron tibeticum,(J. Anthony) Rehder
Huodendron tomentosum,Y.C.Tang & S.M.Hwang
Hura crepitans,L.
Hura polyandra,Baill.
Hyaenanche globosa,(Gaertn.) Lamb. & Vahl
Hybanthus denticulatus,"H.E.Ballard, Wetter & N.Zamora"
Hybanthus mexicanus,Ging. ex DC.
Hybanthus micranthus,Guillaumin
Hybanthus yucatanensis,Millsp.
Hydnocarpus alcalae,C.DC.
Hydnocarpus alpinus,Wight
Hydnocarpus annamensis,(Gagnep.) Lescot & Sleumer
Hydnocarpus anomalus,(Merr.) Sleumer
Hydnocarpus beccarianus,Sleumer
Hydnocarpus borneensis,Sleumer
Hydnocarpus calophyllus,(Ridl.) Sleumer
Hydnocarpus castaneus,Hook.f. & Thomson
Hydnocarpus cauliflorus,Merr.
Hydnocarpus cauliflorus,Merr.
Hydnocarpus cucurbitina,King
Hydnocarpus curtisii,King
Hydnocarpus dawnensis,C.E.Parkinson & C.E.C.Fisch.
Hydnocarpus filipes,Symington & Sleumer
Hydnocarpus glaucescens,Blume
Hydnocarpus gracilis,(Slooten) Sleumer
Hydnocarpus hainanensis,(Merr.) Sleumer
Hydnocarpus heterophyllus,Blume
Hydnocarpus humei,Ridl.
Hydnocarpus ilicifolius,King
Hydnocarpus kunstleri,(King) Warb.
Hydnocarpus kurzii,(King) Warb.
Hydnocarpus macrocarpus,(Bedd.) Warb.
Hydnocarpus nana,King
Hydnocarpus octandra,Thwaites
Hydnocarpus pentandrus,(Buch.-Ham.) Oken
Hydnocarpus pinguis,Sleumer
Hydnocarpus polypetalus,(Slooten) Sleumer
Hydnocarpus saigonensis,Pierre ex Gagnep.
Hydnocarpus scortechinii,King
Hydnocarpus subfalcata,Merr.
Hydnocarpus sumatranus,(Miq.) Koord.
Hydnocarpus tenuipetalus,Sleumer
Hydnocarpus venenata,Gaertn.
Hydnocarpus verrucosus,C.E.Parkinson & C.E.C.Fisch.
Hydnocarpus woodii,Merr.
Hydnocarpus wrayi,King
Hydrangea aspera,D. Don
Hydrangea heteromalla,D. Don
Hydrangea macrocarpa,Hand.-Mazz.
Hydrangea paniculata,Siebold
Hydrangea peruviana,Moric. ex Ser.
Hydrangea preslii,Briq.
Hydrangea robusta,Hook.f. & Thomson
Hydrangea xanthoneura,Diels
Hydriastele apetiolata,Petoe & W.J.Baker
Hydriastele aprica,(B.E.Young) W.J.Baker & Loo
Hydriastele beguinii,(Burret) W.J.Baker & Loo
Hydriastele biakensis,W.J.Baker & Heatubun
Hydriastele boumae,W.J.Baker & D.Watling
Hydriastele calcicola,W.J.Baker & Petoe
Hydriastele costata,F.M.Bailey
Hydriastele cylindrocarpa,(Becc.) W.J.Baker & Loo
Hydriastele divaricata,"Heatubun, Petoe & W.J.Baker"
Hydriastele dransfieldii,"(Hambali, Maturb., Wanggai & W.J.Baker) W.J.Baker & Loo"
Hydriastele flabellata,(Becc.) W.J.Baker & Loo
Hydriastele gibbsiana,(Becc.) W.J.Baker & Loo
Hydriastele hombronii,(Becc.) W.J.Baker & Loo
Hydriastele kasesa,(Lauterb.) Burret
Hydriastele kjellbergii,(Burret) W.J.Baker & Loo
Hydriastele lanata,W.J.Baker & Petoe
Hydriastele ledermanniana,(Becc.) W.J.Baker & Loo
Hydriastele longispatha,(Becc.) W.J.Baker & Loo
Hydriastele lurida,(Becc.) W.J.Baker & Loo
Hydriastele macrospadix,(Burret) W.J.Baker & Loo
Hydriastele manusii,(Essig) W.J.Baker & Loo
Hydriastele microcarpa,(Scheff.) W.J.Baker & Loo
Hydriastele moluccana,(Becc.) W.J.Baker & Loo
Hydriastele montana,(Becc.) W.J.Baker & Loo
Hydriastele nannostachys,W.J.Baker & Loo
Hydriastele oxypetala,(Burret) W.J.Baker & Loo
Hydriastele palauensis,(Becc.) W.J.Baker & Loo
Hydriastele pinangoides,(Becc.) W.J.Baker & Loo
Hydriastele procera,(Blume) W.J.Baker & Loo
Hydriastele ramsayi,(Becc.) W.J.Baker & Loo
Hydriastele rheophytica,Dowe & M.D.Ferrero
Hydriastele sarasinorum,(Burret) W.J.Baker & Loo
Hydriastele selebica,(Becc.) W.J.Baker & Loo
Hydriastele simbiakii,"Heatubun, Petoe & W.J.Baker"
Hydriastele splendida,"Heatubun, Petoe & W.J.Baker"
Hydriastele variabilis,(Becc.) Burret
Hydriastele vitiensis,W.J.Baker & Loo
Hydriastele wendlandiana,(F.Muell.) H.Wendl. & Drude
Hydriastele wosimiensis,W.J.Baker & Petoe
Hydrochorea corymbosa,(Rich.) Barneby & J.W.Grimes
Hydrochorea gonggrijpii,(Kleinhoonte) Barneby & J.W.Grimes
Hydrochorea marginata,(Spruce ex Benth.) Barneby & J.W.Grimes
Hydrogaster trinervis,Kuhlm.
Hylaea arborescens,(Monach.) J.F.Morales
Hylandia dockrillii,Airy Shaw
Hylenaea comosa,(Sw.) Miers
Hylocarpa heterocarpa,(Ducke) Cuatrec.
Hylodendron gabunense,Taub.
Hymenaea altissima,Ducke
Hymenaea aurea,Y.T.Lee & Langenh.
Hymenaea cangaceira,"R.B.Pinto, Mansano & A.M.G.Azevedo"
Hymenaea courbaril,L.
Hymenaea eriogyne,Benth.
Hymenaea fariana,"R.D.Ribeiro, D.B.O.S.Cardoso & H.C.Lima"
Hymenaea intermedia,Ducke
Hymenaea longifolia,"(Benth.) I.M.Souza, Funch & L.P.Queiroz"
Hymenaea maranhensis,Y.T.Lee & Langenh.
Hymenaea martiana,(Hayne) Hayne
Hymenaea oblongifolia,Huber
Hymenaea parvifolia,Huber
Hymenaea reticulata,Ducke
Hymenaea rubriflora,Ducke
Hymenaea stigonocarpa,Mart. ex Hayne
Hymenaea torrei,León
Hymenaea velutina,Ducke
Hymenaea verrucosa,Gaertn.
Hymenandra acutissima,(Cuatrec.) Pipoly & Ricketson
Hymenandra beamanii,B.C.Stone
Hymenandra callejasii,(Pipoly) Pipoly & Ricketson
Hymenandra diamphidia,B.C.Stone
Hymenandra pittieri,(Mez) Pipoly & Ricketson
Hymenandra rosea,B.C.Stone
Hymenandra stenophylla,(Donn.Sm.) Pipoly & Ricketson
Hymenocardia acida,Tul.
Hymenocardia heudelotii,Planch. ex Müll.Arg.
Hymenocardia lyrata,Tul.
Hymenocardia punctata,Wall. ex Lindl.
Hymenocardia ripicola,J.Léonard
Hymenocardia ulmoides,Oliv.
Hymenodictyon antakaranensis,Razafim. & B.Bremer
Hymenodictyon berivotrense,Cavaco
Hymenodictyon biafranum,Hiern
Hymenodictyon decaryi,Homolle
Hymenodictyon embergeri,Cavaco
Hymenodictyon flaccidum,Wall.
Hymenodictyon floribundum,(Hochst. & Steud.) B.L.Rob.
Hymenodictyon glabrum,(Cavaco) Razafim. & B.Bremer
Hymenodictyon horsfieldii,Miq.
Hymenodictyon leandrii,Cavaco
Hymenodictyon louhavate,Homolle
Hymenodictyon obovatum,Wall.
Hymenodictyon occidentale,Homolle
Hymenodictyon orixense,(Roxb.) Mabb.
Hymenodictyon pachyantha,K.Krause
Hymenodictyon parvifolium,Oliv.
Hymenodictyon perrieri,Drake
Hymenodictyon timoranum,(Span.) Miq.
Hymenolobium alagoanum,Ducke
Hymenolobium elatum,Ducke
Hymenolobium excelsum,Ducke
Hymenolobium flavum,Kleinhoonte
Hymenolobium grazielanum,H.C.Lima
Hymenolobium heringeranum,Rizzini
Hymenolobium heterocarpum,Ducke
Hymenolobium janeirense,Kuhlm.
Hymenolobium mesoamericanum,H.C.Lima
Hymenolobium modestum,Ducke
Hymenolobium nitidum,Benth.
Hymenolobium petraeum,Ducke
Hymenolobium pulcherrimum,Ducke
Hymenolobium sericeum,Ducke
Hymenolobium velutinum,Ducke
Hymenosporum flavum,F.Muell.
Hymenostegia aubrevillei,Pellegr.
Hymenostegia bakeriana,Hutch. & Dalziel
Hymenostegia brachyura,(Harms) J.Léonard
Hymenostegia elegans,Wieringa & Mackinder
Hymenostegia felicis,(A.Chev.) J.Léonard
Hymenostegia floribunda,(Benth.) Harms
Hymenostegia gracilipes,Hutch. & Dalziel
Hymenostegia klainei,Pierre ex Pellegr.
Hymenostegia mundungu,(Pellegr.) J.Léonard
Hymenostegia neoaubrevillei,J.Léonard
Hymenostegia normandii,Pellegr.
Hymenostegia pellegrinii,(A.Chev.) J.Léonard
Hymenostegia robusta,Wieringa & Mackinder
Hymenostegia talbotii,Baker f.
Hymenostegia viridiflora,Mackinder & Wieringa
Hyophorbe amaricaulis,Mart.
Hyophorbe indica,Gaertn.
Hyophorbe lagenicaulis,(L.H.Bailey) H.E.Moore
Hyophorbe vaughanii,L.H.Bailey
Hyophorbe verschaffeltii,H.Wendl.
Hyospathe elegans,Mart.
Hyospathe frontinensis,A.J.Hend.
Hyospathe peruviana,A.J.Hend.
Hypelate trifoliata,Sw.
Hyperacanthus ambovombensis,Rakotonas. & A.P.Davis
Hyperacanthus amoenus,(Sims) Bridson
Hyperacanthus madagascariensis,(Lam.) Rakotonas. & A.P.Davis
Hyperacanthus mandenensis,Rakotonas. & A.P. Davis
Hyperacanthus microphyllus,(K.Schum.) Bridson
Hyperacanthus perrieri,(Drake) Rakotonas. & A.P.Davis
Hyperacanthus pervillei,(Drake) Rakotonas. & A.P.Davis
Hyperacanthus poivrei,(Drake) Rakotonas. & A.P.Davis
Hyperacanthus ravinensis,(Baill. ex Drake) Rakotonas. & A.P.Davis
Hyperacanthus talangninia,(DC.) Rakotonas. & A.P.Davis
Hyperbaena allenii,Standl.
Hyperbaena eladioana,Q. Jiménez
Hyperbaena jalcomulcensis,E. Pérez & Cast.-Campos
Hyperbaena laurifolia,(Poir.) Urb.
Hyperbaena leptobotryosa,(Donn.Sm.) Standl.
Hyperbaena lindmanii,Urb.
Hyperbaena mexicana,Miers
Hyperbaena prioriana,Miers
Hyperbaena pruinosa,Urb. & Ekman
Hyperbaena tonduzii,Diels
Hyperbaena undulata,Urb. & Ekman
Hyperbaena valida,Miers
Hyperbaena winzerlingii,Standl.
Hypericum balfourii,N.Robson
Hypericum bequaertii,De Wild.
Hypericum chapmanii,P.B.Adams
Hypericum gnidiifolium,A.Rich.
Hypericum irazuense,Kuntze ex N.Robson
Hypericum lanceolatum,Lam.
Hypericum lancifolium,Gleason
Hypericum laricifolium,Juss.
Hypericum paramitanum,N.Robson
Hypericum quartinianum,A.Rich.
Hypericum revolutum,Vahl
Hypericum roeperianum,Schimp. ex A.Rich.
Hypericum smithii,(N.Robson) N.Robson
Hypericum socotranum,R.D.Good
Hypericum stenopetalum,Turcz.
Hypericum styphelioides,A.Rich.
Hyphaene compressa,H.Wendl.
Hyphaene coriacea,Gaertn.
Hyphaene dichotoma,(J.White Dubl. ex Nimmo) Furtado
Hyphaene guineensis,Schumach. & Thonn.
Hyphaene macrosperma,H.Wendl.
Hyphaene petersiana,Klotzsch ex Mart.
Hyphaene reptans,Becc.
Hyphaene thebaica,(L.) Mart.
Hypobathrum bangueyense,Mulyan. & Ridsdale
Hypobathrum coniferum,(Ridl.) Kiew
Hypobathrum glabrum,Mulyan. & Ridsdale
Hypobathrum hirtum,(Ridl.) Mulyan. & Ridsdale
Hypobathrum longifolium,(DC.) K.M.Wong
Hypobathrum microcarpum,(Blume) Bakh.f.
Hypobathrum multibracteatum,Elmer
Hypobathrum parviflorum,Miq.
Hypobathrum racemosum,(Roxb.) Kurz
Hypobathrum venulosum,(Hook.f.) K.M.Wong
Hypocalymma angustifolium,(Endl.) Schauer
Hypocalyptus sophoroides,(P.J.Bergius) Baill.
Hypodaphnis zenkeri,(Engl.) Stapf
Hyptianthera stricta,(Roxb. ex Schult.) Wight & Arn.
Hyptidendron arboreum,(Benth.) Harley
Hyptidendron asperrimum,(Spreng.) Harley
Hyptidendron canum,(Pohl ex Benth.) Harley
Hyptidendron claussenii,(Benth.) Harley
Hyptidendron conspersum,(Benth.) Harley
Hyptidendron glutinosum,(Benth.) Harley
Hyptidendron leucophyllum,(Pohl ex Benth.) Harley
Hyptidendron roseum,"Antar, Harley & J.F.B.Pastore"
Hyptis odorata,Benth.
Hyptis pachyphylla,Epling
Hyptis penaeoides,Taub. ex Ule
Icuria dunensis,Wieringa
Idertia axillaris,(Oliv.) Farron
Idesia polycarpa,Maxim.
Idiopappus saloyensis,(Domke) H.Rob. & Panero
Idiospermum australiense,(Diels) S.T.Blake
Idiothamnus lilloi,(B.L.Rob.) R.M.King & H.Rob.
Ilex abscondita,Steyerm.
Ilex acutidenticulata,Steyerm.
Ilex affinis,Gardner
Ilex aggregata,(Ruiz & Pav.) Loes.
Ilex altiplana,Steyerm.
Ilex amazonensis,Edwin
Ilex ambigua,(Michx.) Torr.
Ilex amboroica,Loes.
Ilex amelanchier,M.A. Curtis ex Chapm.
Ilex amplifolia,Rusby
Ilex andicola,Loes.
Ilex angulata,Merr. & Chun
Ilex anomala,Hook. & Arn.
Ilex anonoides,Loesner
Ilex aquifolium,L.
Ilex aracamuniana,Steyerm.
Ilex archboldiana,Merr. & L.M.Perry
Ilex ardisiifrons,Reissek
Ilex argentina,Lillo
Ilex arimensis,(Loes.) Britton ex R.O.Williams
Ilex arisanensis,Yamam.
Ilex arnhemensis,Loes.
Ilex atrata,W.W. Sm.
Ilex attenuata,Ashe
Ilex auricula,S.Andrews
Ilex austrosinensis,C.J. Tseng
Ilex azuensis,Loes.
Ilex bahiahondica,(Loes.) P.A. Gonzalez
Ilex barahonica,Loes.
Ilex beccariana,Loes.
Ilex berteroi,Loes.
Ilex bidens,C.Y. Wu
Ilex bioritsensis,Hayata
Ilex blancheana,Judd
Ilex bogorensis,Loes.
Ilex boliviana,Britton
Ilex borneensis,Loes.
Ilex brachyphylla,(Hand.-Mazz.) S.Y. Hu
Ilex brandegeeana,Loes.
Ilex brasiliensis,(Spreng.) Loes.
Ilex brevicuspis,Reissek
Ilex brevipedicellata,Steyerm.
Ilex buergeri,Miq.
Ilex bullata,Cuatrec.
Ilex buxoides,S.Y. Hu
Ilex canariensis,Poir.
Ilex casiquiarensis,Loes.
Ilex cassine,L.
Ilex celebensis,Capit.
Ilex cerasifolia,Reissek
Ilex chamaebuxus,C.Y. Wu
Ilex championii,Loes.
Ilex chapaensis,Merr.
Ilex chengbuensis,C.J. Qi & Q.Z. Lin
Ilex chengkouensis,C.J. Tseng
Ilex cheniana,T.R. Dudley
Ilex chinensis,Sims
Ilex chingiana,Hu & T. Tang
Ilex chiriquensis,Standl.
Ilex chuniana,S.Y. Hu
Ilex ciliolata,Steyerm.
Ilex cinerea,Champ. ex Benth.
Ilex cissoidea,Loes.
Ilex clementis,Britton & P.Wilson
Ilex clethriflora,S.Andrews
Ilex cochinchinensis,(Lour.) Loes.
Ilex cognata,Reissek
Ilex colchica,Pojark.
Ilex collina,Alexander
Ilex colombiana,Cuatrec.
Ilex condensata,Turcz.
Ilex confertiflora,Merr.
Ilex conocarpa,Reissek
Ilex cookii,Britton & P.Wilson
Ilex corallina,Franch.
Ilex coriacea,(Pursh) Chapm.
Ilex cornuta,Lindl. & Paxton
Ilex costaricensis,Donn.Sm.
Ilex cowanii,Wurdack
Ilex crassifolioides,Loes.
Ilex crenata,Thunb.
Ilex cupreonitens,C.Y. Wu
Ilex cuthbertii,Small
Ilex cuzcoana,Loes.
Ilex cymosa,Blume
Ilex cyrtura,Merr.
Ilex dabieshanensis,K. Yao & M.B. Deng
Ilex danielis,Killip & Cuatrec.
Ilex daphnogenea,Reissek
Ilex dasyphylla,Merr.
Ilex davidsei,Steyerm.
Ilex decidua,Walter
Ilex dehongensis,S.K. Chen & Y.X. Feng
Ilex delavayi,Franch.
Ilex denticulata,Wall. ex Wight
Ilex dianguiensis,C.J. Tseng
Ilex dicarpa,Y.R. Li
Ilex dioica,(Vahl) Griseb.
Ilex diospyroides,Reissek
Ilex dipyrena,Wall.
Ilex discolor,Hemsl.
Ilex diuretica,Mart. ex Reissek
Ilex divaricata,Mart. ex Reissek
Ilex dolichopoda,Merr. & Chun
Ilex duarteensis,Loes.
Ilex dugesii,Fernald
Ilex dumosa,Reissek
Ilex editicostata,Hu & T. Tang
Ilex elliptica,Kunth
Ilex elmerrilliana,S.Y. Hu
Ilex embelioides,Hook.f.
Ilex emmae,D.M.Hicks
Ilex ericoides,Loes.
Ilex euryaeformis,Reissek
Ilex euryoides,C.J. Tseng
Ilex excelsa,(Wall.) Voigt
Ilex fanshawei,Edwin
Ilex fargesii,Franch.
Ilex fengqingensis,C.Y. Wu
Ilex ferruginea,Hand.-Mazz.
Ilex ficifolia,C.J. Tseng
Ilex ficoidea,Hemsl.
Ilex floribunda,Reissek ex Maxim.
Ilex florifera,Fawc. & Rendle
Ilex flosparva,Cuatrec.
Ilex formosana,Maxim.
Ilex forrestii,H.F.Comber
Ilex fragilis,Hook.f.
Ilex friburgensis,Loes.
Ilex fuertensiana,(Loes.) T.R.Dudley
Ilex gabinetensis,Cuatrec.
Ilex gabrielleana,"Loizeau & see Spichiger, Rodolphe Edouard"
Ilex gale,Triana & Planch.
Ilex gardneriana,Wight
Ilex georgei,H.F.Comber
Ilex gintungensis,H.W. Li
Ilex glabella,Steyerm.
Ilex glaucophylla,Steyerm.
Ilex gleasoniana,Steyerm.
Ilex glomerata,King
Ilex godajam,Colebr. ex Hook.f.
Ilex goshiensis,Hayata
Ilex gotardensis,Loizeau & Spichiger
Ilex goudotii,Loes.
Ilex graciliflora,Champ. ex Benth.
Ilex gracilis,C.J. Tseng
Ilex grandiflora,Ridl.
Ilex grandis,Reissek
Ilex guaiquinimae,Steyerm.
Ilex guangnanensis,C.J. Tseng & Y.R. Li
Ilex guayusa,Loes.
Ilex guianensis,(Aubl.) Kuntze
Ilex guizhouensis,C.J. Tseng
Ilex gundlachiana,Loes.
Ilex haberi,(Lundell) W.J.Hahn
Ilex hainanensis,Merr.
Ilex hanceana,Maxim.
Ilex harrisii,Loes.
Ilex hayatana,Loes.
Ilex hemiepiphytica,W.J. Hahn
Ilex hippocrateoides,Kunth
Ilex hirsuta,C.J. Tseng ex S.K. Chen & Y.X. Feng
Ilex holstii,Steyerm.
Ilex hookeri,King
Ilex huachamacariana,Edwin
Ilex hualgayoca,"Loizeau & see Spichiger, Rodolphe Edouard"
Ilex hylonoma,Hu & T. Tang
Ilex hypaneura,Loes.
Ilex hypoglauca,Loes.
Ilex hyrcana,Pojark.
Ilex ignicola,Steyerm.
Ilex illustris,Ridl.
Ilex impressa,Ekman & Loes.
Ilex integerrima,Reissek
Ilex integra,Thunb.
Ilex intermedia,Loes.
Ilex intricata,Hook.f.
Ilex inundata,Poepp. ex Reissek
Ilex jacobsii,S.Andrews
Ilex jamaicana,Proctor
Ilex jauaensis,Steyerm.
Ilex jelskii,Zahlbr.
Ilex jenmanii,Loes.
Ilex jiaolingensis,C.J. Tseng & H.H. Liu
Ilex jinyunensis,Z.M. Tan
Ilex julianii,Edwin
Ilex juttana,Loizeau & Spichiger
Ilex karuaiana,Steyerm.
Ilex kaushue,S.Y. Hu
Ilex kelabitana,S.Andrews
Ilex kelsallii,Ridl.
Ilex kengii,S.Y. Hu
Ilex keranjiensis,S.Andrews
Ilex khasiana,Purkay.
Ilex kiangsiensis,(S.Y. Hu) C.J. Tseng & B.W. Liu
Ilex kinabaluensis,S.Andrews
Ilex kingiana,Cockerell
Ilex knucklesensis,Philcox
Ilex kobuskiana,S.Y. Hu
Ilex krugiana,Loes.
Ilex kunthiana,Triana
Ilex kusanoi,Hayata
Ilex kwangtungensis,Merr.
Ilex laevigata,(Pursh) A. Gray
Ilex lamprophylla,Standl.
Ilex lancilimba,Merr.
Ilex lasseri,Edwin
Ilex latifolia,Thunb.
Ilex latifrons,Chun
Ilex laureola,Triana
Ilex laurina,Kunth
Ilex ledermannii,Loes.
Ilex liana,S.Y. Hu
Ilex liangii,S.Y. Hu
Ilex liebmannii,Standl.
Ilex linii,C.J. Tseng
Ilex litseifolia,Hu & T. Tang
Ilex liukiuensis,Loes.
Ilex lohfauensis,Merr.
Ilex longecaudata,H.F.Comber
Ilex longipes,Chapm. ex Trel.
Ilex longipetiolata,Loes.
Ilex longzhouensis,C.J. Tseng
Ilex lonicerifolia,Hayata
Ilex loretoica,Loes.
Ilex lundii,Warm.
Ilex maasiana,"Loizeau & see Spichiger, Rodolphe Edouard"
Ilex macarenensis,Cuatrec.
Ilex macfadyenii,(Walp.) Rehder
Ilex machilifolia,H.W. Li
Ilex maclurei,Merr.
Ilex macrocarpa,Oliv.
Ilex macrophylla,Wall.
Ilex macropoda,Miq.
Ilex magnifructa,Edwin
Ilex maingayi,Hook.f.
Ilex malabarica,Bedd.
Ilex malaccensis,Loes.
Ilex mandonii,Loes.
Ilex manitzii,P.A.González
Ilex manneiensis,S.Y. Hu
Ilex marahuacae,Steyerm.
Ilex marginata,Edwin
Ilex marlipoensis,H.W. Li
Ilex martiniana,D.Don
Ilex matanoana,Makino
Ilex mathewsii,Loes.
Ilex maxima,W.J.Hahn
Ilex maximowicziana,Loes.
Ilex medogensis,Y.R. Li
Ilex megaphylla,S.Andrews
Ilex memecylifolia,Champ. ex Benth.
Ilex mertensii,Maxim.
Ilex mesilauensis,S.Andrews
Ilex metabaptista,Loes.
Ilex micrantha,Triana & Planch.
Ilex micrococca,Maxim.
Ilex microdonta,Reissek
Ilex microsticta,Loes.
Ilex microwrightioides,Loes.
Ilex mitis,(L.) Radlk.
Ilex montana,Torr. & A. Gray
Ilex mucronata,"(L.) M. Powell, Savol. & S. Andrews"
Ilex mucronulata,Cuatrec.
Ilex myricoides,Kunth
Ilex myrtifolia,Walter
Ilex nanningensis,Hand.-Mazz.
Ilex nayana,Cuatrec.
Ilex neblinensis,Edwin
Ilex nervosa,Triana
Ilex nervulosa,(Loes.) S.Andrews
Ilex ningdeensis,C.J. Tseng
Ilex nitida,(Vahl) Maxim.
Ilex nitidissima,C.J. Tseng
Ilex nothofagifolia,Kingdon-Ward
Ilex nubicola,C.Y. Wu
Ilex nuculicava,S.Y. Hu
Ilex obcordata,Sw.
Ilex oblonga,C.J. Tseng
Ilex obtusata,Triana & Planch.
Ilex odorata,Buch.-Ham. ex D.Don
Ilex oliveriana,Loes.
Ilex omeiensis,Hu & T. Tang
Ilex opaca,Aiton
Ilex oppositifolia,Merr.
Ilex orestes,Ridl.
Ilex ovalifolia,Bonpl. ex Miers
Ilex ovalis,(Ruiz & Pav.) Loes.
Ilex palawanica,Loes. ex Elmer
Ilex pallida,Standl.
Ilex paraguariensis,A.St.-Hil.
Ilex parvifructa,Edwin
Ilex patens,Ridl.
Ilex pauciflora,Ridl.
Ilex paujiensis,Steyerm.
Ilex pedunculosa,Miq.
Ilex pentagona,"S.K. Chen, Y.X. Feng & C.F. Liang"
Ilex perado,Aiton
Ilex perlata,C. Chen & S.C. Huang
Ilex pernervata,Cuatrec.
Ilex pernyi,Franch.
Ilex petiolaris,Benth.
Ilex pingnanensis,S.Y. Hu
Ilex polita,Steyerm.
Ilex polypyrena,C.J. Tseng & B.W. Liu
Ilex praetermissa,Kiew
Ilex promecophylla,S.Andrews
Ilex psammophila,Reissek
Ilex pseudobuxus,Reissek
Ilex pseudoebenacea,Loes.
Ilex pseudomachilifolia,C.Y. Wu
Ilex pseudo-odorata,Loes.
Ilex ptariana,Steyerm.
Ilex pubescens,Hook. & Arn.
Ilex pubigera,(C.Y. Wu) S.K.Chen & Y.X.Feng
Ilex pubilimba,Merr. & Chun
Ilex pustulosa,Triana & Planch.
Ilex pyrifolia,C.J. Tseng
Ilex qianlingshanensis,C.J. Tseng
Ilex qingyuanensis,C.Z. Zheng
Ilex quercetorum,I.M.Johnst.
Ilex rarasanensis,Sasaki
Ilex renae,S.Andrews
Ilex retusa,Klotzsch ex Reissek
Ilex revoluta,Stapf
Ilex rimbachii,Standl.
Ilex robustinervosa,C.J. Tseng ex S.K. Chen & Y.X. Feng
Ilex rotunda,Thunb.
Ilex rubra,S. Watson
Ilex sapiiformis,Reissek
Ilex sapotifolia,Reissek
Ilex savannarum,Wurdack
Ilex scabridula,Merr. & L.M.Perry
Ilex sclerophylla,Hook.f.
Ilex sclerophylloides,Loes.
Ilex scopulorum,Kunth
Ilex sebertii,Pancher
Ilex servinii,E.Carranza
Ilex sessiliflora,Triana & Planch.
Ilex sessilifructa,Edwin
Ilex shennongjiaensis,T.R. Dudley & S.C. Sun
Ilex shimeica,K.F. Kwok
Ilex sideroxyloides,(Sw.) Griseb.
Ilex sikkimensis,Kurz
Ilex sinica,(Loes.) S.Y. Hu
Ilex sintenisii,(Urb.) Britton
Ilex sipapoana,Edwin
Ilex skutchii,Edwin ex T.R.Dudley & W.J.Hahn
Ilex socorroensis,Brandegee
Ilex soderstromii,Edwin
Ilex solida,Edwin
Ilex spicata,Blume
Ilex spinulosa,Cuatrec.
Ilex spruceana,Reissek
Ilex stellata,W.J. Hahn
Ilex stenura,(Merr. & L.M.Perry) D.M.Hicks
Ilex sterrophylla,Merr. & Chun
Ilex stewardii,S.Y. Hu
Ilex steyermarkii,Edwin
Ilex strigillosa,T.R. Dudley
Ilex suaveolens,(H. Lév.) Loes.
Ilex subficoidea,S.Y. Hu
Ilex subodorata,S.Y. Hu
Ilex subrotundifolia,Steyerm.
Ilex subrugosa,Loes.
Ilex subtriflora,Griseb.
Ilex sugerokii,Maxim.
Ilex suichangensis,C.Z. Zheng
Ilex suprema,Cuatrec.
Ilex suzukii,S.Y. Hu
Ilex syzygiophylla,C.J. Tseng ex S.K. Chen & Y.X. Feng
Ilex szechwanensis,Loes.
Ilex tadiandamolensis,"Kesh.Murthy, Yogan. & Vasud.Nair"
Ilex tahanensis,Kiew
Ilex tamii,T.R. Dudley
